config,n_features,sparsity,avg_similarity,std_similarity
"Baseline (unigrams, 5000 features)",1529,97.67713618850719,0.058978161869788145,0.06899875846619603
"Bigrams (unigrams + bigrams, 6000 features)",2492,98.12290324298418,0.05149968060481301,0.070974577203115
"Dutch stopwords (unigrams, 5000 features)",1473,97.68824625244929,0.05915719843528598,0.06896348038343598
